書名,特集タイトル,URL
ユリイカ2012年3月号,特集＝辞書の世界,https://www.seidosha.co.jp/book/index.php?id=2247&status=published
ユリイカ2012年2月号,特集＝立川談志,https://www.seidosha.co.jp/book/index.php?id=2246&status=published
ユリイカ2012年1月号,特集＝武富健治,https://www.seidosha.co.jp/book/index.php?id=2245&status=published
ユリイカ2012年1月臨時増刊号,総特集＝石川直樹,https://www.seidosha.co.jp/book/index.php?id=2244&status=published
ユリイカ2013年12月号,特集＝高畑勲「かぐや姫の物語」の世界,https://www.seidosha.co.jp/book/index.php?id=2243&status=published
ユリイカ2013年11月号,特集＝中原淳一と少女イラストレーション,https://www.seidosha.co.jp/book/index.php?id=2242&status=published
ユリイカ2013年11月臨時増刊号,総特集＝小津安二郎,https://www.seidosha.co.jp/book/index.php?id=2241&status=published
ユリイカ2013年10月号,特集＝武田百合子,https://www.seidosha.co.jp/book/index.php?id=2240&status=published
ユリイカ2013年10月臨時増刊号,総特集＝高橋幸宏,https://www.seidosha.co.jp/book/index.php?id=2239&status=published
ユリイカ2013年9月号,特集＝クマ,https://www.seidosha.co.jp/book/index.php?id=2238&status=published
ユリイカ2013年8月号,特集＝今日マチ子,https://www.seidosha.co.jp/book/index.php?id=2237&status=published
ユリイカ2013年8月臨時増刊号,総特集＝やなせたかし アンパンマンの心,https://www.seidosha.co.jp/book/index.php?id=2236&status=published
ユリイカ2013年7月号,特集＝女子とエロ・小説篇,https://www.seidosha.co.jp/book/index.php?id=2235&status=published
